image_id,dish,day,label,soma_area_mean,circularity_mean,neurite_length,branch_count,neurite_density
d1_t10_ph639,1,10,10.0,241.125,0.42954312201015954,287,8,0.1487817522032141
d1_t10_ph640,1,10,10.0,354.55555555555554,0.35092081313075557,452,20,0.1416483860858665
d1_t12_ph735,1,12,12.0,338.75,0.23424272543216046,497,31,0.18339483394833947
d1_t12_ph736,1,12,12.0,284.44444444444446,0.38950168785764083,417,27,0.162890625
d1_t12_ph737,1,12,12.0,294.7,0.3901349803058542,477,22,0.16185951815405497
d1_t12_ph738,1,12,12.0,359.6666666666667,0.4659906498158238,260,27,0.12048192771084337
d1_t12_ph739,1,12,12.0,334.5,0.33390005709860604,395,15,0.1476083707025411
d1_t12_ph740,1,12,12.0,282.14285714285717,0.41168573838712247,280,27,0.14177215189873418
d1_t12_ph741,1,12,12.0,639.2,0.4141156430292671,427,22,0.13360450563204004
d1_t12_ph742,1,12,12.0,383.7142857142857,0.4479319364650366,327,21,0.12174236783320923
d1_t12_ph743,1,12,12.0,696.8,0.41305497413975345,320,39,0.09184845005740529
d1_t12_ph744,1,12,12.0,549.8,0.26824654761364086,393,29,0.1429610767551837
d1_t12_ph745,1,12,12.0,1349.0,0.12098607610847074,697,55,0.17222634049913516
d1_t12_ph746,1,12,12.0,372.42857142857144,0.2749180903437362,452,15,0.17337936325278097
d1_t12_ph747,1,12,12.0,417.2857142857143,0.27801234405638664,484,30,0.1656966792194454
d1_t12_ph748,1,12,12.0,1369.6666666666667,0.43309529332033686,454,12,0.11048917011438306
d1_t12_ph749,1,12,12.0,537.1666666666666,0.48185900258845654,339,25,0.10518150791188334
d1_t12_ph750,1,12,12.0,2356.5,0.17956139968990514,441,48,0.09357097390197326
d1_t12_ph751,1,12,12.0,294.2,0.40589522783231435,431,21,0.14649898028552005
d1_t12_ph752,1,12,12.0,456.85714285714283,0.40156752859356104,390,24,0.12195121951219512
d1_t12_ph753,1,12,12.0,531.4,0.21606630260708104,427,9,0.16070756492284533
d1_t12_ph754,1,12,12.0,409.625,0.3400125437360666,437,30,0.13335367714372903
d1_t12_ph755,1,12,12.0,339.57142857142856,0.37362835239335174,332,13,0.13967185527976442
d1_t12_ph756,1,12,12.0,918.0,0.2912296736898566,467,30,0.12717864923747277
d1_t12_ph757,1,12,12.0,927.5,0.1476415926790478,573,44,0.15444743935309974
d1_t12_ph758,1,12,12.0,316.25,0.4228080176221022,325,18,0.12845849802371542
d1_t12_ph759,1,12,12.0,295.42857142857144,0.28279744634832865,383,20,0.18520309477756286
d1_t12_ph760,1,12,12.0,437.57142857142856,0.2898436428450214,483,64,0.15768854064642507
d1_t12_ph761,1,12,12.0,380.0,0.35015146307242934,272,27,0.1431578947368421
d1_t12_ph762,1,12,12.0,252.3,0.4063128494589122,381,24,0.15101070154577884
d1_t12_ph763,1,12,12.0,257.875,0.47768380879764766,294,13,0.14251090644692196
d1_t12_ph764,1,12,12.0,972.25,0.3309151902801736,471,49,0.12111082540498842
d1_t12_ph765,1,12,12.0,716.0,0.3247359001777362,391,53,0.13652234636871508
d1_t12_ph766,1,12,12.0,659.6666666666666,0.39581814630118156,570,55,0.14401212733703891
d1_t12_ph767,1,12,12.0,360.14285714285717,0.30821965122060907,398,11,0.15787385957953193
